height,depth,position,value
0,12.16943902,12.16943902,171
0.000773154,12.16866587,12.16866587,172
0.001546307,12.16789271,12.16789271,173
0.002319461,12.16711956,12.16711956,172
0.003092615,12.16634641,12.16634641,170
0.003865768,12.16557325,12.16557325,167
0.004638922,12.1648001,12.1648001,174
0.005412076,12.16402694,12.16402694,179
0.006185229,12.16325379,12.16325379,179
0.006958383,12.16248064,12.16248064,177
0.007731537,12.16170748,12.16170748,176
0.008504691,12.16093433,12.16093433,177
0.009277844,12.16016118,12.16016118,179
0.010050998,12.15938802,12.15938802,180
0.010824152,12.15861487,12.15861487,178
0.011597305,12.15784172,12.15784172,173
0.012370459,12.15706856,12.15706856,169
0.013143613,12.15629541,12.15629541,179
0.013916766,12.15552225,12.15552225,184
0.01468992,12.1547491,12.1547491,178
0.015463074,12.15397595,12.15397595,173
0.016236227,12.15320279,12.15320279,171
0.017009381,12.15242964,12.15242964,170
0.017782535,12.15165649,12.15165649,171
0.018555688,12.15088333,12.15088333,173
0.019328842,12.15011018,12.15011018,174
0.020101996,12.14933702,12.14933702,174
0.02087515,12.14856387,12.14856387,172
0.021648303,12.14779072,12.14779072,168
0.022421457,12.14701756,12.14701756,166
0.023194611,12.14624441,12.14624441,166
0.023967764,12.14547126,12.14547126,163
0.024740918,12.1446981,12.1446981,162
0.025514072,12.14392495,12.14392495,161
0.026287225,12.1431518,12.1431518,163
0.027060379,12.14237864,12.14237864,165
0.027833533,12.14160549,12.14160549,165
0.028606686,12.14083233,12.14083233,166
0.02937984,12.14005918,12.14005918,172
0.030152994,12.13928603,12.13928603,175
0.030926147,12.13851287,12.13851287,175
0.031699301,12.13773972,12.13773972,177
0.032472455,12.13696657,12.13696657,179
0.033245609,12.13619341,12.13619341,180
0.034018762,12.13542026,12.13542026,177
0.034791916,12.1346471,12.1346471,164
0.03556507,12.13387395,12.13387395,145
0.036338223,12.1331008,12.1331008,154
0.037111377,12.13232764,12.13232764,173
0.037884531,12.13155449,12.13155449,189
0.038657684,12.13078134,12.13078134,196
0.039430838,12.13000818,12.13000818,188
0.040203992,12.12923503,12.12923503,190
0.040977145,12.12846188,12.12846188,196
0.041750299,12.12768872,12.12768872,198
0.042523453,12.12691557,12.12691557,192
